framework,version,N,elapsed_sec,bandwidth_gbs,status
omp_off,v1,117500000,0.024521,38.334686,ok
omp_off,v2,117500000,0.026603,70.668765,ok
omp_off,v4,117500000,0.030892,91.285375,ok
hip,v1,117500000,0.024668,38.106082,ok
hip,v2,117500000,0.046040,40.834006,ok
hip,v4,117500000,0.037556,75.088003,ok
omp_off,v1,217500000,0.045428,38.302538,ok
omp_off,v2,217500000,0.049005,71.013116,ok
omp_off,v4,217500000,0.055990,93.230966,ok
hip,v1,217500000,0.045337,38.379281,ok
hip,v2,217500000,0.057233,60.803980,ok
hip,v4,217500000,0.063461,82.255468,ok
omp_off,v1,318750000,0.066604,38.285910,ok
omp_off,v2,318750000,0.071624,71.205142,ok
omp_off,v4,318750000,0.081599,93.751152,ok
hip,v1,318750000,0.066483,38.355658,ok
hip,v2,318750000,0.079207,64.388294,ok
hip,v4,318750000,0.089385,85.584798,ok
omp_off,v1,418750000,0.087530,38.272637,ok
omp_off,v2,418750000,0.094174,71.144971,ok
omp_off,v4,418750000,0.107166,93.779698,ok
hip,v1,418750000,0.087399,38.329955,ok
hip,v2,418750000,0.101156,66.234334,ok
hip,v4,418750000,0.114828,87.522305,ok
omp_off,v1,520000000,0.108707,38.268022,ok
omp_off,v2,520000000,0.116936,71.149905,ok
omp_off,v4,520000000,0.132979,93.849464,ok
hip,v1,520000000,0.108619,38.299017,ok
hip,v2,520000000,0.124940,66.591880,ok
hip,v4,520000000,0.138935,89.826120,ok
omp_off,v1,1240000000,0.259305,38.256108,ok
omp_off,v2,1240000000,0.279594,70.959988,ok
omp_off,v4,1240000000,0.332995,89.370728,ok
hip,v1,1240000000,0.259138,38.280746,ok
hip,v2,1240000000,0.286903,69.152257,ok
hip,v4,1240000000,0.329944,90.197088,ok
omp_off,v4_4,58750000,0.050770,111.089651,ok
hip,v4_4,58750000,0.068388,82.470627,ok
omp_off,v4_4,108750000,0.091715,113.831064,ok
hip,v4_4,108750000,0.119958,87.030343,ok
omp_off,v4_4,159375000,0.134594,113.675232,ok
hip,v4_4,159375000,0.171862,89.024850,ok
omp_off,v4_4,209375000,0.176060,114.165650,ok
hip,v4_4,209375000,0.224899,89.373431,ok
omp_off,v4_4,260000000,0.219857,113.528351,ok
hip,v4_4,260000000,0.275916,90.462282,ok
omp_off,v4_4,310000000,0.260564,114.213743,ok
hip,v4_4,310000000,0.328583,90.570723,ok
