framework,version,N,elapsed_sec,bandwidth_gbs,status
omp_off,v1,117500000,0.024558,38.276628,ok
omp_off,v2,117500000,0.026718,70.364180,ok
omp_off,v4,117500000,0.030772,91.641839,ok
hip,v1,117500000,0.024680,38.087308,ok
hip,v2,117500000,0.034879,53.900675,ok
hip,v4,117500000,0.037792,74.618561,ok
omp_off,v1,217500000,0.045479,38.259367,ok
omp_off,v2,217500000,0.049024,70.985488,ok
omp_off,v4,217500000,0.056183,92.910502,ok
hip,v1,217500000,0.045345,38.372420,ok
hip,v2,217500000,0.056011,62.130696,ok
hip,v4,217500000,0.063399,82.335584,ok
omp_off,v1,318750000,0.066463,38.367216,ok
omp_off,v2,318750000,0.071843,70.987981,ok
omp_off,v4,318750000,0.081825,93.492188,ok
hip,v1,318750000,0.066386,38.411722,ok
hip,v2,318750000,0.078738,64.771600,ok
hip,v4,318750000,0.089750,85.236946,ok
omp_off,v1,418750000,0.087498,38.286611,ok
omp_off,v2,418750000,0.094566,70.849908,ok
omp_off,v4,418750000,0.107038,93.891870,ok
hip,v1,418750000,0.087312,38.368158,ok
hip,v2,418750000,0.102363,65.453420,ok
hip,v4,418750000,0.114330,87.903396,ok
omp_off,v1,520000000,0.108681,38.277173,ok
omp_off,v2,520000000,0.117365,70.890029,ok
omp_off,v4,520000000,0.132797,93.978025,ok
hip,v1,520000000,0.108414,38.371367,ok
hip,v2,520000000,0.124861,66.634096,ok
hip,v4,520000000,0.140489,88.832514,ok
omp_off,v1,1240000000,0.259555,38.219245,ok
omp_off,v2,1240000000,0.279410,71.006793,ok
omp_off,v4,1240000000,0.315179,94.422573,ok
hip,v1,1240000000,0.259323,38.253470,ok
hip,v2,1240000000,0.286623,69.219846,ok
hip,v4,1240000000,0.322571,92.258747,ok
omp_off,v4_4,58750000,0.050047,112.694246,ok
hip,v4_4,58750000,0.068524,82.307069,ok
omp_off,v4_4,108750000,0.091541,114.047490,ok
hip,v4_4,108750000,0.118951,87.767171,ok
omp_off,v4_4,159375000,0.133693,114.441312,ok
hip,v4_4,159375000,0.171718,89.099508,ok
omp_off,v4_4,209375000,0.175501,114.529347,ok
hip,v4_4,209375000,0.222125,90.489665,ok
omp_off,v4_4,260000000,0.218168,114.407235,ok
hip,v4_4,260000000,0.276608,90.236005,ok
omp_off,v4_4,310000000,0.259207,114.811710,ok
hip,v4_4,310000000,0.326672,91.100532,ok
