framework,version,N,elapsed_sec,bandwidth_gbs,status
omp_off,v1,117500000,0.010045,93.580636,ok
omp_off,v2,117500000,0.010256,183.306403,ok
omp_off,v4,117500000,0.010268,274.634004,ok
cuda,v1,117500000,0.010009,93.917241,ok
cuda,v2,117500000,0.011240,167.259705,ok
cuda,v4,117500000,0.011243,250.825712,ok
acc,v1,117500000,0.010007,93.935142,ok
acc,v2,117500000,0.010954,171.628320,ok
acc,v4,117500000,0.011102,254.003721,ok
omp_off,v1,217500000,0.018568,93.709411,ok
omp_off,v2,217500000,0.018843,184.682262,ok
omp_off,v4,217500000,0.019486,267.885316,ok
cuda,v1,217500000,0.018533,93.886624,ok
cuda,v2,217500000,0.019790,175.846972,ok
cuda,v4,217500000,0.020813,250.804927,ok
acc,v1,217500000,0.018530,93.902328,ok
acc,v2,217500000,0.019527,178.215159,ok
acc,v4,217500000,0.020304,257.092647,ok
omp_off,v1,318750000,0.027207,93.726232,ok
omp_off,v2,318750000,0.027492,185.508199,ok
omp_off,v4,318750000,0.028683,266.708995,ok
cuda,v1,318750000,0.027135,93.974108,ok
cuda,v2,318750000,0.028461,179.192709,ok
cuda,v4,318750000,0.030188,253.411250,ok
acc,v1,318750000,0.027135,93.974108,ok
acc,v2,318750000,0.028219,180.729394,ok
acc,v4,318750000,0.030349,252.067479,ok
omp_off,v1,418750000,0.035703,93.829798,ok
omp_off,v2,418750000,0.036112,185.533534,ok
omp_off,v4,418750000,0.037973,264.662241,ok
cuda,v1,418750000,0.035648,93.974133,ok
cuda,v2,418750000,0.037071,180.734317,ok
cuda,v4,418750000,0.039181,256.501915,ok
acc,v1,418750000,0.035645,93.982304,ok
acc,v2,418750000,0.036800,182.064495,ok
acc,v4,418750000,0.038781,259.148004,ok
omp_off,v1,520000000,0.044328,93.845931,ok
omp_off,v2,520000000,0.044803,185.701259,ok
omp_off,v4,520000000,0.047027,265.378836,ok
cuda,v1,520000000,0.044249,94.013301,ok
cuda,v2,520000000,0.045711,182.012921,ok
cuda,v4,520000000,0.047825,260.950850,ok
acc,v1,520000000,0.044253,94.004691,ok
acc,v2,520000000,0.045438,183.106444,ok
acc,v4,520000000,0.047431,263.119101,ok
omp_off,v1,1240000000,0.106241,93.372626,ok
omp_off,v2,1240000000,0.107104,185.240405,ok
omp_off,v4,1240000000,0.113464,262.286116,ok
cuda,v1,1240000000,0.106168,93.436789,ok
cuda,v2,1240000000,0.108089,183.552494,ok
cuda,v4,1240000000,0.112638,264.209244,ok
acc,v1,1240000000,0.106161,93.442875,ok
acc,v2,1240000000,0.108134,183.476004,ok
acc,v4,1240000000,0.112921,263.547083,ok
omp_off,v4_4,58750000,0.011545,488.525588,ok
cuda,v4_4,58750000,0.007866,716.996774,ok
acc,v4_4,58750000,0.007670,735.316731,ok
omp_off,v4_4,108750000,0.019036,548.432972,ok
cuda,v4_4,108750000,0.014002,745.603258,ok
acc,v4_4,108750000,0.011437,912.831640,ok
omp_off,v4_4,159375000,0.027994,546.547300,ok
cuda,v4_4,159375000,0.019946,767.076480,ok
acc,v4_4,159375000,0.016728,914.625247,ok
omp_off,v4_4,209375000,0.036281,554.010964,ok
cuda,v4_4,209375000,0.026215,766.741339,ok
acc,v4_4,209375000,0.024593,817.309844,ok
omp_off,v4_4,260000000,0.053437,467.092137,ok
cuda,v4_4,260000000,0.033216,751.445096,ok
acc,v4_4,260000000,0.030017,831.531595,ok
omp_off,v4_4,310000000,0.057162,520.625168,ok
cuda,v4_4,310000000,0.038518,772.626749,ok
acc,v4_4,310000000,0.041474,717.560315,ok
