framework,version,N,elapsed_sec,bandwidth_gbs,status
omp_off,v1,117500000,0.010050,93.531795,ok
omp_off,v2,117500000,0.010246,183.485550,ok
omp_off,v4,117500000,0.010250,275.119494,ok
cuda,v1,117500000,0.010033,93.691827,ok
cuda,v2,117500000,0.011280,166.669306,ok
cuda,v4,117500000,0.011361,248.214918,ok
acc,v1,117500000,0.010011,93.897110,ok
acc,v2,117500000,0.011051,170.121282,ok
acc,v4,117500000,0.011060,254.972888,ok
omp_off,v1,217500000,0.018600,93.548452,ok
omp_off,v2,217500000,0.018869,184.427908,ok
omp_off,v4,217500000,0.018820,277.363808,ok
cuda,v1,217500000,0.018526,93.921664,ok
cuda,v2,217500000,0.019776,175.972053,ok
cuda,v4,217500000,0.020864,250.191600,ok
acc,v1,217500000,0.018530,93.901120,ok
acc,v2,217500000,0.019544,178.058627,ok
acc,v4,217500000,0.020301,257.131898,ok
omp_off,v1,318750000,0.027242,93.605650,ok
omp_off,v2,318750000,0.027514,185.360309,ok
omp_off,v4,318750000,0.029029,263.528385,ok
cuda,v1,318750000,0.027137,93.967503,ok
cuda,v2,318750000,0.028702,177.687838,ok
cuda,v4,318750000,0.030347,252.083322,ok
acc,v1,318750000,0.027140,93.957598,ok
acc,v2,318750000,0.028434,179.362494,ok
acc,v4,318750000,0.030007,254.941486,ok
omp_off,v1,418750000,0.035744,93.722150,ok
omp_off,v2,418750000,0.036144,185.369539,ok
omp_off,v4,418750000,0.037911,265.094995,ok
cuda,v1,418750000,0.035639,93.998651,ok
cuda,v2,418750000,0.037065,180.763381,ok
cuda,v4,418750000,0.039261,255.978547,ok
acc,v1,418750000,0.035639,93.998022,ok
acc,v2,418750000,0.036828,181.926592,ok
acc,v4,418750000,0.038813,258.933101,ok
omp_off,v1,520000000,0.044372,93.752644,ok
omp_off,v2,520000000,0.044763,185.867426,ok
omp_off,v4,520000000,0.046253,269.820535,ok
cuda,v1,520000000,0.044261,93.987980,ok
cuda,v2,520000000,0.045738,181.905709,ok
cuda,v4,520000000,0.048349,258.123743,ok
acc,v1,520000000,0.044255,94.000639,ok
acc,v2,520000000,0.045545,182.677024,ok
acc,v4,520000000,0.048481,257.420499,ok
omp_off,v1,1240000000,0.106267,93.349792,ok
omp_off,v2,1240000000,0.107160,185.143552,ok
omp_off,v4,1240000000,0.111206,267.611328,ok
cuda,v1,1240000000,0.106171,93.434271,ok
cuda,v2,1240000000,0.108068,183.588129,ok
cuda,v4,1240000000,0.112794,263.844003,ok
acc,v1,1240000000,0.106163,93.441196,ok
acc,v2,1240000000,0.108102,183.530633,ok
acc,v4,1240000000,0.113740,261.649451,ok
omp_off,v4_4,58750000,0.011469,491.755006,ok
cuda,v4_4,58750000,0.007667,735.613986,ok
acc,v4_4,58750000,0.006739,836.931702,ok
omp_off,v4_4,108750000,0.019753,528.527867,ok
cuda,v4_4,108750000,0.011336,920.952610,ok
acc,v4_4,108750000,0.011238,928.982811,ok
omp_off,v4_4,159375000,0.055157,277.390266,ok
cuda,v4_4,159375000,0.021090,725.461249,ok
acc,v4_4,159375000,0.022127,691.458185,ok
omp_off,v4_4,209375000,0.036341,553.095033,ok
cuda,v4_4,209375000,0.027126,740.984490,ok
acc,v4_4,209375000,0.024661,815.057866,ok
omp_off,v4_4,260000000,0.044987,554.824463,ok
cuda,v4_4,260000000,0.033405,747.192068,ok
acc,v4_4,260000000,0.030228,825.727238,ok
omp_off,v4_4,310000000,0.053920,551.928470,ok
cuda,v4_4,310000000,0.039513,753.167725,ok
acc,v4_4,310000000,0.041883,710.550959,ok
