acc,v1,117500000,0.010007,93.932904,ok
acc,v1,117500000,0.010007,93.935142,ok
acc,v1,117500000,0.010008,93.926190,ok
acc,v1,117500000,0.010011,93.897110,ok
acc,v1,1240000000,0.106154,93.449171,ok
acc,v1,1240000000,0.106161,93.442875,ok
acc,v1,1240000000,0.106163,93.441196,ok
acc,v1,1240000000,0.106165,93.439307,ok
acc,v1,1240000000,0.106173,93.432383,ok
acc,v1,217500000,0.018530,93.901120,ok
acc,v1,217500000,0.018530,93.902328,ok
acc,v1,217500000,0.018532,93.891456,ok
acc,v1,217500000,0.018533,93.886624,ok
acc,v1,318750000,0.027124,94.012932,ok
acc,v1,318750000,0.027127,94.002190,ok
acc,v1,318750000,0.027135,93.974108,ok
acc,v1,318750000,0.027137,93.967503,ok
acc,v1,318750000,0.027140,93.957598,ok
acc,v1,418750000,0.035639,93.998022,ok
acc,v1,418750000,0.035640,93.995507,ok
acc,v1,418750000,0.035645,93.982304,ok
acc,v1,418750000,0.035646,93.979790,ok
acc,v1,520000000,0.044249,94.013808,ok
acc,v1,520000000,0.044252,94.007223,ok
acc,v1,520000000,0.044253,94.004691,ok
acc,v1,520000000,0.044254,94.002665,ok
acc,v1,520000000,0.044255,94.000639,ok
acc,v2,117500000,0.010954,171.628320,ok
acc,v2,117500000,0.010995,170.988193,ok
acc,v2,117500000,0.011001,170.891845,ok
acc,v2,117500000,0.011051,170.121282,ok
acc,v2,1240000000,0.108102,183.530633,ok
acc,v2,1240000000,0.108134,183.476004,ok
acc,v2,1240000000,0.108497,182.862360,ok
acc,v2,1240000000,0.110728,179.177764,ok
acc,v2,1240000000,0.110770,179.109888,ok
acc,v2,217500000,0.019497,178.487569,ok
acc,v2,217500000,0.019527,178.215159,ok
acc,v2,217500000,0.019544,178.058627,ok
acc,v2,217500000,0.019559,177.924057,ok
acc,v2,217500000,0.019620,177.370558,ok
acc,v2,318750000,0.028208,180.799662,ok
acc,v2,318750000,0.028219,180.729394,ok
acc,v2,318750000,0.028263,180.447348,ok
acc,v2,318750000,0.028272,180.391044,ok
acc,v2,318750000,0.028434,179.362494,ok
acc,v2,418750000,0.036800,182.064495,ok
acc,v2,418750000,0.036806,182.036190,ok
acc,v2,418750000,0.036828,181.926592,ok
acc,v2,418750000,0.036839,181.872431,ok
acc,v2,418750000,0.036944,181.355995,ok
acc,v2,520000000,0.045438,183.106444,ok
acc,v2,520000000,0.045438,183.107405,ok
acc,v2,520000000,0.045459,183.021935,ok
acc,v2,520000000,0.045490,182.897234,ok
acc,v2,520000000,0.045545,182.677024,ok
acc,v4,117500000,0.011005,256.248912,ok
acc,v4,117500000,0.011021,255.877497,ok
acc,v4,117500000,0.011060,254.972888,ok
acc,v4,117500000,0.011102,254.003721,ok
acc,v4,117500000,0.011107,253.894674,ok
acc,v4,1240000000,0.112607,264.281967,ok
acc,v4,1240000000,0.112921,263.547083,ok
acc,v4,1240000000,0.113740,261.649451,ok
acc,v4,1240000000,0.114827,259.172680,ok
acc,v4,1240000000,0.115189,258.357834,ok
acc,v4,217500000,0.019414,268.878849,ok
acc,v4,217500000,0.019820,263.370667,ok
acc,v4,217500000,0.020301,257.131898,ok
acc,v4,217500000,0.020304,257.092647,ok
acc,v4,217500000,0.020325,256.824245,ok
acc,v4,318750000,0.029604,258.411391,ok
acc,v4,318750000,0.029684,257.714014,ok
acc,v4,318750000,0.029840,256.367356,ok
acc,v4,318750000,0.030007,254.941486,ok
acc,v4,318750000,0.030349,252.067479,ok
acc,v4_4,108750000,0.011238,928.982811,ok
acc,v4_4,108750000,0.011437,912.831640,ok
acc,v4_4,108750000,0.011666,894.903717,ok
acc,v4_4,108750000,0.011709,891.623745,ok
acc,v4_4,108750000,0.011776,886.533188,ok
acc,v4_4,159375000,0.016728,914.625247,ok
acc,v4_4,159375000,0.016953,902.495587,ok
acc,v4_4,159375000,0.018626,821.433524,ok
acc,v4_4,159375000,0.019561,782.176042,ok
acc,v4_4,159375000,0.022127,691.458185,ok
acc,v4,418750000,0.038674,259.863728,ok
acc,v4,418750000,0.038781,259.148004,ok
acc,v4,418750000,0.038813,258.933101,ok
acc,v4,418750000,0.039019,257.566115,ok
acc,v4,418750000,0.039089,257.105813,ok
acc,v4_4,209375000,0.024133,832.877343,ok
acc,v4_4,209375000,0.024593,817.309844,ok
acc,v4_4,209375000,0.024661,815.057866,ok
acc,v4_4,209375000,0.024908,806.975241,ok
acc,v4_4,209375000,0.028272,710.952938,ok
acc,v4_4,260000000,0.030017,831.531595,ok
acc,v4_4,260000000,0.030169,827.339043,ok
acc,v4_4,260000000,0.030206,826.326852,ok
acc,v4_4,260000000,0.030228,825.727238,ok
acc,v4_4,260000000,0.030261,824.829447,ok
acc,v4_4,310000000,0.037766,788.010802,ok
acc,v4_4,310000000,0.041230,721.805154,ok
acc,v4_4,310000000,0.041474,717.560315,ok
acc,v4_4,310000000,0.041654,714.455309,ok
acc,v4_4,310000000,0.041883,710.550959,ok
acc,v4_4,58750000,0.006462,872.781677,ok
acc,v4_4,58750000,0.006532,863.416109,ok
acc,v4_4,58750000,0.006687,843.406823,ok
acc,v4_4,58750000,0.006739,836.931702,ok
acc,v4_4,58750000,0.007670,735.316731,ok
acc,v4,520000000,0.047431,263.119101,ok
acc,v4,520000000,0.047576,262.317407,ok
acc,v4,520000000,0.047595,262.212284,ok
acc,v4,520000000,0.047939,260.331794,ok
acc,v4,520000000,0.048481,257.420499,ok
cuda,v1,117500000,0.010007,93.935142,ok
cuda,v1,117500000,0.010009,93.917241,ok
cuda,v1,117500000,0.010033,93.691827,ok
cuda,v1,117500000,0.010061,93.429839,ok
cuda,v1,117500000,0.010064,93.401065,ok
cuda,v1,1240000000,0.106166,93.438678,ok
cuda,v1,1240000000,0.106168,93.436789,ok
cuda,v1,1240000000,0.106170,93.435111,ok
cuda,v1,1240000000,0.106171,93.434271,ok
cuda,v1,1240000000,0.106207,93.402600,ok
cuda,v1,217500000,0.018526,93.921664,ok
cuda,v1,217500000,0.018528,93.911995,ok
cuda,v1,217500000,0.018529,93.907161,ok
cuda,v1,217500000,0.018531,93.896288,ok
cuda,v1,217500000,0.018533,93.886624,ok
cuda,v1,318750000,0.027114,94.047652,ok
cuda,v1,318750000,0.027135,93.974108,ok
cuda,v1,318750000,0.027137,93.967503,ok
cuda,v1,318750000,0.027139,93.960899,ok
cuda,v1,418750000,0.035639,93.998651,ok
cuda,v1,418750000,0.035643,93.987962,ok
cuda,v1,418750000,0.035648,93.974133,ok
cuda,v1,418750000,0.035686,93.874306,ok
cuda,v1,418750000,0.036041,92.949641,ok
cuda,v1,520000000,0.044249,94.013301,ok
cuda,v1,520000000,0.044260,93.990006,ok
cuda,v1,520000000,0.044261,93.987980,ok
cuda,v1,520000000,0.044302,93.900981,ok
cuda,v1,520000000,0.044306,93.892896,ok
cuda,v2,117500000,0.011214,167.647316,ok
cuda,v2,117500000,0.011216,167.618807,ok
cuda,v2,117500000,0.011240,167.259705,ok
cuda,v2,117500000,0.011280,166.669306,ok
cuda,v2,117500000,0.023493,80.023661,ok
cuda,v2,1240000000,0.108051,183.616891,ok
cuda,v2,1240000000,0.108068,183.588129,ok
cuda,v2,1240000000,0.108088,183.554113,ok
cuda,v2,1240000000,0.108089,183.552494,ok
cuda,v2,1240000000,0.182891,108.479837,ok
cuda,v2,217500000,0.019776,175.972053,ok
cuda,v2,217500000,0.019778,175.952961,ok
cuda,v2,217500000,0.019783,175.908430,ok
cuda,v2,217500000,0.019790,175.846972,ok
cuda,v2,217500000,0.019886,174.997337,ok
cuda,v2,318750000,0.028461,179.192709,ok
cuda,v2,318750000,0.028466,179.161191,ok
cuda,v2,318750000,0.028507,178.903463,ok
cuda,v2,318750000,0.028525,178.791314,ok
cuda,v2,318750000,0.028702,177.687838,ok
cuda,v2,418750000,0.037030,180.933302,ok
cuda,v2,418750000,0.037065,180.763381,ok
cuda,v2,418750000,0.037069,180.744779,ok
cuda,v2,418750000,0.037071,180.734317,ok
cuda,v2,418750000,0.052969,126.489129,ok
cuda,v2,520000000,0.045711,182.012921,ok
cuda,v2,520000000,0.045733,181.925624,ok
cuda,v2,520000000,0.045738,181.905709,ok
cuda,v2,520000000,0.045759,181.822304,ok
cuda,v2,520000000,0.051216,162.448837,ok
cuda,v4,117500000,0.011243,250.825712,ok
cuda,v4,117500000,0.011251,250.644994,ok
cuda,v4,117500000,0.011273,250.152006,ok
cuda,v4,117500000,0.011315,249.224326,ok
cuda,v4,117500000,0.011361,248.214918,ok
