framework,version,N,elapsed_sec,bandwidth_gbs,status
omp_off,v1,117500000,0.007147,131.522359,ok
omp_off,v2,117500000,0.007741,242.863482,ok
omp_off,v4,117500000,0.007501,375.955541,ok
cuda,v1,117500000,0.007063,133.096158,ok
cuda,v2,117500000,0.007553,248.923241,ok
cuda,v4,117500000,0.007581,372.004326,ok
acc,v1,117500000,0.007060,133.148011,ok
acc,v2,117500000,0.008054,233.430773,ok
acc,v4,117500000,0.008130,346.860331,ok
omp_off,v1,217500000,0.013405,129.803802,ok
omp_off,v2,217500000,0.013986,248.822521,ok
omp_off,v4,217500000,0.013924,374.895411,ok
cuda,v1,217500000,0.013059,133.240453,ok
cuda,v2,217500000,0.013622,255.464012,ok
cuda,v4,217500000,0.013728,380.245642,ok
acc,v1,217500000,0.013060,133.230292,ok
acc,v2,217500000,0.014045,247.775008,ok
acc,v4,217500000,0.014179,368.150307,ok
omp_off,v1,318750000,0.019491,130.829901,ok
omp_off,v2,318750000,0.020108,253.630591,ok
omp_off,v4,318750000,0.020112,380.369216,ok
cuda,v1,318750000,0.019135,133.262734,ok
cuda,v2,318750000,0.019655,259.474337,ok
cuda,v4,318750000,0.019643,389.445389,ok
acc,v1,318750000,0.019136,133.257023,ok
acc,v2,318750000,0.020157,253.012602,ok
acc,v4,318750000,0.020199,378.730487,ok
omp_off,v1,418750000,0.025472,131.516112,ok
omp_off,v2,418750000,0.026180,255.920267,ok
omp_off,v4,418750000,0.025998,386.570025,ok
cuda,v1,418750000,0.025135,133.279910,ok
cuda,v2,418750000,0.025713,260.570621,ok
cuda,v4,418750000,0.025667,391.550931,ok
acc,v1,418750000,0.025135,133.280073,ok
acc,v2,418750000,0.026162,256.097518,ok
acc,v4,418750000,0.026254,382.796229,ok
omp_off,v1,520000000,0.031329,132.784675,ok
omp_off,v2,520000000,0.032294,257.632718,ok
omp_off,v4,520000000,0.031801,392.440670,ok
cuda,v1,520000000,0.031210,133.291146,ok
cuda,v2,520000000,0.031818,261.483124,ok
cuda,v4,520000000,0.031727,393.350610,ok
acc,v1,520000000,0.031210,133.290844,ok
acc,v2,520000000,0.032289,257.672667,ok
acc,v4,520000000,0.032340,385.899221,ok
omp_off,v1,1240000000,0.075148,132.005989,ok
omp_off,v2,1240000000,0.076062,260.839965,ok
omp_off,v4,1240000000,0.075525,394.041471,ok
cuda,v1,1240000000,0.074881,132.476991,ok
cuda,v2,1240000000,0.075708,262.059056,ok
cuda,v4,1240000000,0.075478,394.284685,ok
acc,v1,1240000000,0.074879,132.480524,ok
acc,v2,1240000000,0.076164,260.490496,ok
acc,v4,1240000000,0.077266,385.163054,ok
omp_off,v4_4,58750000,0.011254,501.162547,ok
cuda,v4_4,58750000,0.004147,1360.005517,ok
acc,v4_4,58750000,0.005563,1013.837679,ok
omp_off,v4_4,108750000,0.021026,496.530562,ok
cuda,v4_4,108750000,0.007195,1451.040114,ok
acc,v4_4,108750000,0.008855,1179.012756,ok
omp_off,v4_4,159375000,0.029382,520.722920,ok
cuda,v4_4,159375000,0.010184,1502.381127,ok
acc,v4_4,159375000,0.012439,1230.001173,ok
omp_off,v4_4,209375000,0.036928,544.299819,ok
cuda,v4_4,209375000,0.013197,1523.064539,ok
acc,v4_4,209375000,0.016108,1247.824375,ok
omp_off,v4_4,260000000,0.041351,603.611805,ok
cuda,v4_4,260000000,0.016300,1531.319722,ok
acc,v4_4,260000000,0.019660,1269.583166,ok
omp_off,v4_4,310000000,0.046296,642.818452,ok
cuda,v4_4,310000000,0.019281,1543.453667,ok
acc,v4_4,310000000,0.023138,1286.193297,ok
