framework,version,N,elapsed_sec,bandwidth_gbs,status
omp_off,v1,117500000,0.024613,38.191349,ok
omp_off,v2,117500000,0.026728,70.337819,ok
omp_off,v4,117500000,0.030659,91.978920,ok
hip,v1,117500000,0.024659,38.119714,ok
hip,v2,117500000,0.075157,25.014328,ok
hip,v4,117500000,0.038056,74.101061,ok
omp_off,v1,217500000,0.045512,38.231508,ok
omp_off,v2,217500000,0.049247,70.664165,ok
omp_off,v4,217500000,0.056002,93.211120,ok
hip,v1,217500000,0.045302,38.408973,ok
hip,v2,217500000,0.056880,61.181438,ok
hip,v4,217500000,0.063115,82.706327,ok
omp_off,v1,318750000,0.066744,38.205630,ok
omp_off,v2,318750000,0.072110,70.725342,ok
omp_off,v4,318750000,0.081652,93.690380,ok
hip,v1,318750000,0.066557,38.313065,ok
hip,v2,318750000,0.079632,64.044570,ok
hip,v4,318750000,0.088645,86.299070,ok
omp_off,v1,418750000,0.087706,38.195856,ok
omp_off,v2,418750000,0.094643,70.792438,ok
omp_off,v4,418750000,0.107026,93.902538,ok
hip,v1,418750000,0.087464,38.301431,ok
hip,v2,418750000,0.101867,65.772062,ok
hip,v4,418750000,0.114370,87.872794,ok
omp_off,v1,520000000,0.108905,38.198403,ok
omp_off,v2,520000000,0.117507,70.804304,ok
omp_off,v4,520000000,0.132650,94.082243,ok
hip,v1,520000000,0.108623,38.297588,ok
hip,v2,520000000,0.124673,66.734637,ok
hip,v4,520000000,0.139651,89.365594,ok
omp_off,v1,1240000000,0.259595,38.213348,ok
omp_off,v2,1240000000,0.280060,70.841949,ok
omp_off,v4,1240000000,0.313492,94.930634,ok
hip,v1,1240000000,0.259360,38.248019,ok
hip,v2,1240000000,0.287065,69.113260,ok
hip,v4,1240000000,0.321201,92.652240,ok
omp_off,v4_4,58750000,0.050020,112.754407,ok
hip,v4_4,58750000,0.067599,83.433409,ok
omp_off,v4_4,108750000,0.091552,114.033531,ok
hip,v4_4,108750000,0.119137,87.630347,ok
omp_off,v4_4,159375000,0.133827,114.326730,ok
hip,v4_4,159375000,0.171316,89.308569,ok
omp_off,v4_4,209375000,0.176394,113.949463,ok
hip,v4_4,209375000,0.224449,89.552575,ok
omp_off,v4_4,260000000,0.218306,114.334891,ok
hip,v4_4,260000000,0.275774,90.508894,ok
omp_off,v4_4,310000000,0.259924,114.495035,ok
hip,v4_4,310000000,0.325927,91.308785,ok
