framework,version,N,elapsed_sec,bandwidth_gbs,status
omp_off,v1,117500000,0.024599,38.213189,ok
omp_off,v2,117500000,0.026706,70.396218,ok
omp_off,v4,117500000,0.030774,91.635450,ok
hip,v1,117500000,0.024713,38.036600,ok
hip,v2,117500000,0.039721,47.330113,ok
hip,v4,117500000,0.037738,74.725573,ok
omp_off,v1,217500000,0.045563,38.188896,ok
omp_off,v2,217500000,0.049258,70.648432,ok
omp_off,v4,217500000,0.055870,93.431086,ok
hip,v1,217500000,0.045461,38.274616,ok
hip,v2,217500000,0.056965,61.090022,ok
hip,v4,217500000,0.062939,82.937541,ok
omp_off,v1,318750000,0.066769,38.191442,ok
omp_off,v2,318750000,0.072088,70.746862,ok
omp_off,v4,318750000,0.081308,94.086536,ok
hip,v1,318750000,0.066620,38.276867,ok
hip,v2,318750000,0.080004,63.746831,ok
hip,v4,318750000,0.089154,85.806577,ok
omp_off,v1,418750000,0.087692,38.201983,ok
omp_off,v2,418750000,0.094664,70.776569,ok
omp_off,v4,418750000,0.106497,94.368812,ok
hip,v1,418750000,0.087568,38.256069,ok
hip,v2,418750000,0.102666,65.260227,ok
hip,v4,418750000,0.113699,88.391310,ok
omp_off,v1,520000000,0.108951,38.182354,ok
omp_off,v2,520000000,0.117474,70.824278,ok
omp_off,v4,520000000,0.132193,94.407356,ok
hip,v1,520000000,0.108864,38.212792,ok
hip,v2,520000000,0.124943,66.590356,ok
hip,v4,520000000,0.139891,89.212373,ok
omp_off,v1,1240000000,0.259479,38.230447,ok
omp_off,v2,1240000000,0.280017,70.852867,ok
omp_off,v4,1240000000,0.314626,94.588502,ok
hip,v1,1240000000,0.259485,38.229569,ok
hip,v2,1240000000,0.288235,68.832735,ok
hip,v4,1240000000,0.321663,92.519217,ok
omp_off,v4_4,58750000,0.049864,113.107531,ok
hip,v4_4,58750000,0.068498,82.338009,ok
omp_off,v4_4,108750000,0.091638,113.926427,ok
hip,v4_4,108750000,0.120622,86.551262,ok
omp_off,v4_4,159375000,0.134291,113.931540,ok
hip,v4_4,159375000,0.171171,89.384326,ok
omp_off,v4_4,209375000,0.176023,114.189619,ok
hip,v4_4,209375000,0.224211,89.647707,ok
omp_off,v4_4,260000000,0.218010,114.490188,ok
hip,v4_4,260000000,0.274567,90.906810,ok
omp_off,v4_4,310000000,0.260742,114.135835,ok
hip,v4_4,310000000,0.328326,90.641622,ok
