framework,version,N,elapsed_sec,bandwidth_gbs,status
omp_off,v1,117500000,0.010056,93.476356,ok
omp_off,v2,117500000,0.010330,181.994865,ok
omp_off,v4,117500000,0.010354,272.357403,ok
cuda,v1,117500000,0.010011,93.894874,ok
cuda,v2,117500000,0.011209,167.722200,ok
cuda,v4,117500000,0.011268,250.263156,ok
acc,v1,117500000,0.010007,93.935142,ok
acc,v2,117500000,0.010975,171.296494,ok
acc,v4,117500000,0.011127,253.437696,ok
omp_off,v1,217500000,0.018802,92.543703,ok
omp_off,v2,217500000,0.018842,184.693947,ok
omp_off,v4,217500000,0.019418,268.822726,ok
cuda,v1,217500000,0.018532,93.891456,ok
cuda,v2,217500000,0.033777,103.028693,ok
cuda,v4,217500000,0.020468,255.032288,ok
acc,v1,217500000,0.018533,93.886624,ok
acc,v2,217500000,0.019518,178.297883,ok
acc,v4,217500000,0.020500,254.631872,ok
omp_off,v1,318750000,0.027196,93.763206,ok
omp_off,v2,318750000,0.027588,184.863717,ok
omp_off,v4,318750000,0.028871,264.971226,ok
cuda,v1,318750000,0.027134,93.978237,ok
cuda,v2,318750000,0.028504,178.921420,ok
cuda,v4,318750000,0.030285,252.601285,ok
acc,v1,318750000,0.027138,93.964201,ok
acc,v2,318750000,0.028200,180.851634,ok
acc,v4,318750000,0.030068,254.421961,ok
omp_off,v1,418750000,0.035710,93.811004,ok
omp_off,v2,418750000,0.036105,185.570290,ok
omp_off,v4,418750000,0.037885,265.276840,ok
cuda,v1,418750000,0.035637,94.003682,ok
cuda,v2,418750000,0.037066,180.758731,ok
cuda,v4,418750000,0.039068,257.243888,ok
acc,v1,418750000,0.035644,93.984819,ok
acc,v2,418750000,0.036826,181.936015,ok
acc,v4,418750000,0.039130,256.836368,ok
omp_off,v1,520000000,0.044315,93.873195,ok
omp_off,v2,520000000,0.044790,185.755627,ok
omp_off,v4,520000000,0.046952,265.803322,ok
cuda,v1,520000000,0.044254,94.002665,ok
cuda,v2,520000000,0.045749,181.862101,ok
cuda,v4,520000000,0.048783,255.827740,ok
acc,v1,520000000,0.044256,93.998614,ok
acc,v2,520000000,0.045535,182.717197,ok
acc,v4,520000000,0.048607,256.752556,ok
omp_off,v1,1240000000,0.106214,93.396520,ok
omp_off,v2,1240000000,0.107117,185.217728,ok
omp_off,v4,1240000000,0.113756,261.612709,ok
cuda,v1,1240000000,0.106158,93.445813,ok
cuda,v2,1240000000,0.108053,183.613650,ok
cuda,v4,1240000000,0.112891,263.617214,ok
acc,v1,1240000000,0.106168,93.436789,ok
acc,v2,1240000000,0.107926,183.829845,ok
acc,v4,1240000000,0.113262,262.753759,ok
omp_off,v4_4,58750000,0.011506,490.175602,ok
cuda,v4_4,58750000,0.006792,830.380320,ok
acc,v4_4,58750000,0.006554,860.557844,ok
omp_off,v4_4,108750000,0.019727,529.224130,ok
cuda,v4_4,108750000,0.013989,746.302174,ok
acc,v4_4,108750000,0.011404,915.465248,ok
omp_off,v4_4,159375000,0.033271,459.862207,ok
cuda,v4_4,159375000,0.019848,770.863579,ok
acc,v4_4,159375000,0.023981,638.008920,ok
omp_off,v4_4,209375000,0.036319,553.429069,ok
cuda,v4_4,209375000,0.026355,762.669716,ok
acc,v4_4,209375000,0.024491,820.707246,ok
omp_off,v4_4,260000000,0.044987,554.827403,ok
cuda,v4_4,260000000,0.032940,757.737913,ok
acc,v4_4,260000000,0.030248,825.180524,ok
omp_off,v4_4,310000000,0.062505,476.121859,ok
cuda,v4_4,310000000,0.038025,782.645008,ok
acc,v4_4,310000000,0.040879,728.001954,ok
