framework,version,N,elapsed_sec,bandwidth_gbs,status
omp_off,v1,117500000,0.007222,130.154686,ok
omp_off,v2,117500000,0.007691,244.444526,ok
omp_off,v4,117500000,0.007658,368.242132,ok
cuda,v1,117500000,0.007062,133.111104,ok
cuda,v2,117500000,0.007559,248.709127,ok
cuda,v4,117500000,0.007550,373.521164,ok
acc,v1,117500000,0.007060,133.143515,ok
acc,v2,117500000,0.008079,232.700570,ok
acc,v4,117500000,0.008123,347.165755,ok
omp_off,v1,217500000,0.013314,130.689414,ok
omp_off,v2,217500000,0.014005,248.483647,ok
omp_off,v4,217500000,0.013983,373.310148,ok
cuda,v1,217500000,0.013059,133.243136,ok
cuda,v2,217500000,0.013583,256.207642,ok
cuda,v4,217500000,0.013560,384.961260,ok
acc,v1,217500000,0.013060,133.232725,ok
acc,v2,217500000,0.014221,244.709339,ok
acc,v4,217500000,0.014110,369.948073,ok
omp_off,v1,318750000,0.019589,130.175449,ok
omp_off,v2,318750000,0.020074,254.061362,ok
omp_off,v4,318750000,0.020064,381.282240,ok
cuda,v1,318750000,0.019135,133.264746,ok
cuda,v2,318750000,0.019665,259.344579,ok
cuda,v4,318750000,0.019675,388.813910,ok
acc,v1,318750000,0.019134,133.270307,ok
acc,v2,318750000,0.020169,252.863058,ok
acc,v4,318750000,0.020217,378.395509,ok
omp_off,v1,418750000,0.025467,131.541968,ok
omp_off,v2,418750000,0.026128,256.429357,ok
omp_off,v4,418750000,0.026026,386.152153,ok
cuda,v1,418750000,0.025136,133.277052,ok
cuda,v2,418750000,0.025685,260.857655,ok
cuda,v4,418750000,0.025667,391.560938,ok
acc,v1,418750000,0.025134,133.285130,ok
acc,v2,418750000,0.026190,255.822418,ok
acc,v4,418750000,0.026232,383.119793,ok
omp_off,v1,520000000,0.031477,132.160097,ok
omp_off,v2,520000000,0.032214,258.273391,ok
omp_off,v4,520000000,0.032066,389.195984,ok
cuda,v1,520000000,0.031210,133.289104,ok
cuda,v2,520000000,0.031816,261.504862,ok
cuda,v4,520000000,0.031714,393.520086,ok
acc,v1,520000000,0.031210,133.290844,ok
acc,v2,520000000,0.032301,257.575670,ok
acc,v4,520000000,0.032332,385.995973,ok
omp_off,v1,1240000000,0.075144,132.013109,ok
omp_off,v2,1240000000,0.076118,260.647967,ok
omp_off,v4,1240000000,0.075453,394.417492,ok
cuda,v1,1240000000,0.074880,132.479354,ok
cuda,v2,1240000000,0.075689,262.126446,ok
cuda,v4,1240000000,0.075248,395.491619,ok
acc,v1,1240000000,0.074879,132.480524,ok
acc,v2,1240000000,0.076176,260.449731,ok
acc,v4,1240000000,0.076946,386.764643,ok
omp_off,v4_4,58750000,0.009893,570.103498,ok
cuda,v4_4,58750000,0.004119,1369.288985,ok
acc,v4_4,58750000,0.005400,1044.409473,ok
omp_off,v4_4,108750000,0.020421,511.237727,ok
cuda,v4_4,108750000,0.007195,1450.938072,ok
acc,v4_4,108750000,0.008877,1176.099424,ok
omp_off,v4_4,159375000,0.029749,514.304443,ok
cuda,v4_4,159375000,0.010198,1500.350523,ok
acc,v4_4,159375000,0.012532,1220.874973,ok
omp_off,v4_4,209375000,0.035749,562.254141,ok
cuda,v4_4,209375000,0.013223,1520.060948,ok
acc,v4_4,209375000,0.016024,1254.359625,ok
omp_off,v4_4,260000000,0.046699,534.489010,ok
cuda,v4_4,260000000,0.016273,1533.791246,ok
acc,v4_4,260000000,0.019617,1272.376036,ok
omp_off,v4_4,310000000,0.048108,618.606834,ok
cuda,v4_4,310000000,0.019238,1546.911093,ok
acc,v4_4,310000000,0.023122,1287.081872,ok
