framework,version,N,elapsed_sec,bandwidth_gbs,status
omp_off,v1,117500000,0.007127,131.891940,ok
omp_off,v2,117500000,0.007679,244.824004,ok
omp_off,v4,117500000,0.007667,367.818431,ok
cuda,v1,117500000,0.007063,133.095930,ok
cuda,v2,117500000,0.007568,248.401018,ok
cuda,v4,117500000,0.007708,365.872738,ok
acc,v1,117500000,0.007060,133.143515,ok
acc,v2,117500000,0.008069,232.989349,ok
acc,v4,117500000,0.008299,339.805139,ok
omp_off,v1,217500000,0.013436,129.502067,ok
omp_off,v2,217500000,0.013983,248.873432,ok
omp_off,v4,217500000,0.013878,376.138450,ok
cuda,v1,217500000,0.013059,133.239371,ok
cuda,v2,217500000,0.013568,256.480894,ok
cuda,v4,217500000,0.013637,382.773775,ok
acc,v1,217500000,0.013060,133.230292,ok
acc,v2,217500000,0.014229,244.569929,ok
acc,v4,217500000,0.014396,362.601926,ok
omp_off,v1,318750000,0.019218,132.686680,ok
omp_off,v2,318750000,0.020138,253.252239,ok
omp_off,v4,318750000,0.019959,383.286256,ok
cuda,v1,318750000,0.019135,133.265576,ok
cuda,v2,318750000,0.019686,259.063095,ok
cuda,v4,318750000,0.019647,389.373711,ok
acc,v1,318750000,0.019135,133.263665,ok
acc,v2,318750000,0.020160,252.976695,ok
acc,v4,318750000,0.020394,375.108729,ok
omp_off,v1,418750000,0.025478,131.485345,ok
omp_off,v2,418750000,0.026167,256.048517,ok
omp_off,v4,418750000,0.026034,386.035452,ok
cuda,v1,418750000,0.025135,133.279496,ok
cuda,v2,418750000,0.025686,260.844676,ok
cuda,v4,418750000,0.025660,391.664951,ok
acc,v1,418750000,0.025135,133.280073,ok
acc,v2,418750000,0.026172,255.999534,ok
acc,v4,418750000,0.026213,383.398565,ok
omp_off,v1,520000000,0.031456,132.248246,ok
omp_off,v2,520000000,0.032224,258.193133,ok
omp_off,v4,520000000,0.032149,388.194434,ok
cuda,v1,520000000,0.031210,133.291043,ok
cuda,v2,520000000,0.031789,261.726957,ok
cuda,v4,520000000,0.031734,393.264897,ok
acc,v1,520000000,0.031210,133.290844,ok
acc,v2,520000000,0.032465,256.276139,ok
acc,v4,520000000,0.032338,385.924827,ok
omp_off,v1,1240000000,0.075218,131.883392,ok
omp_off,v2,1240000000,0.076158,260.510883,ok
omp_off,v4,1240000000,0.075490,394.224412,ok
cuda,v1,1240000000,0.074880,132.478694,ok
cuda,v2,1240000000,0.075715,262.035413,ok
cuda,v4,1240000000,0.075247,395.499997,ok
acc,v1,1240000000,0.074880,132.478415,ok
acc,v2,1240000000,0.076195,260.384534,ok
acc,v4,1240000000,0.075392,394.736801,ok
omp_off,v4_4,58750000,0.009489,594.383642,ok
cuda,v4_4,58750000,0.004168,1353.259869,ok
acc,v4_4,58750000,0.005580,1010.718845,ok
omp_off,v4_4,108750000,0.017756,587.970752,ok
cuda,v4_4,108750000,0.007304,1429.259269,ok
acc,v4_4,108750000,0.008983,1162.177763,ok
omp_off,v4_4,159375000,0.029441,519.681348,ok
cuda,v4_4,159375000,0.010247,1493.081767,ok
acc,v4_4,159375000,0.012613,1213.051514,ok
omp_off,v4_4,209375000,0.038859,517.256147,ok
cuda,v4_4,209375000,0.013274,1514.244639,ok
acc,v4_4,209375000,0.016089,1249.303672,ok
omp_off,v4_4,260000000,0.049275,506.545709,ok
cuda,v4_4,260000000,0.016356,1526.004618,ok
acc,v4_4,260000000,0.019633,1271.325341,ok
omp_off,v4_4,310000000,0.048055,619.288180,ok
cuda,v4_4,310000000,0.019298,1542.120399,ok
acc,v4_4,310000000,0.023342,1274.960798,ok
