framework,version,N,elapsed_sec,bandwidth_gbs,status
omp_off,v1,117500000,0.010067,93.374521,ok
omp_off,v2,117500000,0.010304,182.453874,ok
omp_off,v4,117500000,0.011445,246.394827,ok
cuda,v1,117500000,0.010008,93.926190,ok
cuda,v2,117500000,0.011235,167.334243,ok
cuda,v4,117500000,0.011448,246.328119,ok
acc,v1,117500000,0.010008,93.926190,ok
acc,v2,117500000,0.010972,171.344883,ok
acc,v4,117500000,0.011260,250.443323,ok
omp_off,v1,217500000,0.018599,93.553249,ok
omp_off,v2,217500000,0.018924,183.893489,ok
omp_off,v4,217500000,0.019786,263.824491,ok
cuda,v1,217500000,0.018568,93.709411,ok
cuda,v2,217500000,0.020191,172.354410,ok
cuda,v4,217500000,0.020085,259.894198,ok
acc,v1,217500000,0.018531,93.896288,ok
acc,v2,217500000,0.019577,177.759376,ok
acc,v4,217500000,0.020635,252.969611,ok
omp_off,v1,318750000,0.027191,93.781294,ok
omp_off,v2,318750000,0.027553,185.097264,ok
omp_off,v4,318750000,0.028675,266.782174,ok
cuda,v1,318750000,0.027141,93.954296,ok
cuda,v2,318750000,0.041928,121.637630,ok
cuda,v4,318750000,0.030263,252.784370,ok
acc,v1,318750000,0.027114,94.047652,ok
acc,v2,318750000,0.028235,180.627146,ok
acc,v4,318750000,0.030057,254.516813,ok
omp_off,v1,418750000,0.035744,93.722150,ok
omp_off,v2,418750000,0.036092,185.636485,ok
omp_off,v4,418750000,0.037710,266.506216,ok
cuda,v1,418750000,0.035644,93.984819,ok
cuda,v2,418750000,0.037041,180.880895,ok
cuda,v4,418750000,0.039281,255.849591,ok
acc,v1,418750000,0.035660,93.942718,ok
acc,v2,418750000,0.036749,182.318451,ok
acc,v4,418750000,0.039245,256.082738,ok
omp_off,v1,520000000,0.044289,93.928783,ok
omp_off,v2,520000000,0.045780,181.738975,ok
omp_off,v4,520000000,0.047024,265.396328,ok
cuda,v1,520000000,0.044260,93.990006,ok
cuda,v2,520000000,0.045737,181.909502,ok
cuda,v4,520000000,0.048430,257.691695,ok
acc,v1,520000000,0.044247,94.017354,ok
acc,v2,520000000,0.045527,182.748773,ok
acc,v4,520000000,0.047810,261.032833,ok
omp_off,v1,1240000000,0.106227,93.384781,ok
omp_off,v2,1240000000,0.107091,185.263087,ok
omp_off,v4,1240000000,0.111774,266.251052,ok
cuda,v1,1240000000,0.106175,93.430705,ok
cuda,v2,1240000000,0.122745,161.635863,ok
cuda,v4,1240000000,0.113324,262.610031,ok
acc,v1,1240000000,0.106173,93.432383,ok
acc,v2,1240000000,0.107988,183.724320,ok
acc,v4,1240000000,0.114840,259.143086,ok
omp_off,v4_4,58750000,0.011195,503.798841,ok
cuda,v4_4,58750000,0.008066,699.236634,ok
acc,v4_4,58750000,0.006618,852.218264,ok
omp_off,v4_4,108750000,0.038821,268.926737,ok
cuda,v4_4,108750000,0.019330,540.092429,ok
acc,v4_4,108750000,0.011374,917.883154,ok
omp_off,v4_4,159375000,0.027871,548.955100,ok
cuda,v4_4,159375000,0.026104,586.117668,ok
acc,v4_4,159375000,0.022011,695.105677,ok
omp_off,v4_4,209375000,0.037629,534.164056,ok
cuda,v4_4,209375000,0.026868,748.105548,ok
acc,v4_4,209375000,0.024446,822.220048,ok
omp_off,v4_4,260000000,0.046059,541.912084,ok
cuda,v4_4,260000000,0.033055,755.109042,ok
acc,v4_4,260000000,0.030005,831.861961,ok
omp_off,v4_4,310000000,0.057593,516.730641,ok
cuda,v4_4,310000000,0.038072,781.679475,ok
acc,v4_4,310000000,0.041771,712.457118,ok
