framework,version,N,elapsed_sec,bandwidth_gbs,status
omp_off,v1,117500000,0.010062,93.420983,ok
omp_off,v2,117500000,0.010279,182.893991,ok
omp_off,v4,117500000,0.010321,273.225624,ok
cuda,v1,117500000,0.010007,93.935142,ok
cuda,v2,117500000,0.011214,167.647316,ok
cuda,v4,117500000,0.011315,249.224326,ok
acc,v1,117500000,0.010007,93.932904,ok
acc,v2,117500000,0.010954,171.628320,ok
acc,v4,117500000,0.011005,256.248912,ok
omp_off,v1,217500000,0.018607,93.513691,ok
omp_off,v2,217500000,0.018926,183.874956,ok
omp_off,v4,217500000,0.019534,267.228117,ok
cuda,v1,217500000,0.018531,93.896288,ok
cuda,v2,217500000,0.019886,174.997337,ok
cuda,v4,217500000,0.020515,254.448398,ok
acc,v1,217500000,0.018533,93.886624,ok
acc,v2,217500000,0.019559,177.924057,ok
acc,v4,217500000,0.020325,256.824245,ok
omp_off,v1,318750000,0.027251,93.574530,ok
omp_off,v2,318750000,0.027539,185.191810,ok
omp_off,v4,318750000,0.028760,265.994840,ok
cuda,v1,318750000,0.027114,94.047652,ok
cuda,v2,318750000,0.028466,179.161191,ok
cuda,v4,318750000,0.030095,254.194201,ok
acc,v1,318750000,0.027127,94.002190,ok
acc,v2,318750000,0.028263,180.447348,ok
acc,v4,318750000,0.029684,257.714014,ok
omp_off,v1,418750000,0.035761,93.677161,ok
omp_off,v2,418750000,0.036102,185.584996,ok
omp_off,v4,418750000,0.037932,264.948366,ok
cuda,v1,418750000,0.035643,93.987962,ok
cuda,v2,418750000,0.037069,180.744779,ok
cuda,v4,418750000,0.039128,256.848888,ok
acc,v1,418750000,0.035646,93.979790,ok
acc,v2,418750000,0.036839,181.872431,ok
acc,v4,418750000,0.038674,259.863728,ok
omp_off,v1,520000000,0.044299,93.907045,ok
omp_off,v2,520000000,0.044826,185.606440,ok
omp_off,v4,520000000,0.046633,267.621612,ok
cuda,v1,520000000,0.044260,93.990006,ok
cuda,v2,520000000,0.045733,181.925624,ok
cuda,v4,520000000,0.048440,257.638424,ok
acc,v1,520000000,0.044249,94.013808,ok
acc,v2,520000000,0.045459,183.021935,ok
acc,v4,520000000,0.047595,262.212284,ok
omp_off,v1,1240000000,0.106213,93.397148,ok
omp_off,v2,1240000000,0.107144,185.171567,ok
omp_off,v4,1240000000,0.112381,264.813491,ok
cuda,v1,1240000000,0.106166,93.438678,ok
cuda,v2,1240000000,0.108051,183.616891,ok
cuda,v4,1240000000,0.113223,262.843946,ok
acc,v1,1240000000,0.106165,93.439307,ok
acc,v2,1240000000,0.108497,182.862360,ok
acc,v4,1240000000,0.112607,264.281967,ok
omp_off,v4_4,58750000,0.021757,259.225416,ok
cuda,v4_4,58750000,0.007115,792.704060,ok
acc,v4_4,58750000,0.006462,872.781677,ok
omp_off,v4_4,108750000,0.022108,472.230675,ok
cuda,v4_4,108750000,0.013884,751.941027,ok
acc,v4_4,108750000,0.011666,894.903717,ok
omp_off,v4_4,159375000,0.027776,550.835196,ok
cuda,v4_4,159375000,0.033462,457.237680,ok
acc,v4_4,159375000,0.018626,821.433524,ok
omp_off,v4_4,209375000,0.061037,329.308109,ok
cuda,v4_4,209375000,0.039434,509.712998,ok
acc,v4_4,209375000,0.024133,832.877343,ok
omp_off,v4_4,260000000,0.044870,556.274922,ok
cuda,v4_4,260000000,0.033204,751.714880,ok
acc,v4_4,260000000,0.030261,824.829447,ok
omp_off,v4_4,310000000,0.053388,557.427396,ok
cuda,v4_4,310000000,0.039425,754.848405,ok
acc,v4_4,310000000,0.041230,721.805154,ok
