framework,version,N,elapsed_sec,bandwidth_gbs,status
omp_off,v1,117500000,0.007431,126.496591,ok
omp_off,v2,117500000,0.007925,237.230107,ok
omp_off,v4,117500000,0.007929,355.663257,ok
cuda,v1,117500000,0.007061,133.119756,ok
cuda,v2,117500000,0.007684,244.676401,ok
cuda,v4,117500000,0.007680,367.181189,ok
acc,v1,117500000,0.007060,133.143515,ok
acc,v2,117500000,0.008235,228.287876,ok
acc,v4,117500000,0.008397,335.830133,ok
omp_off,v1,217500000,0.013563,128.290980,ok
omp_off,v2,217500000,0.014088,247.016042,ok
omp_off,v4,217500000,0.014185,367.995611,ok
cuda,v1,217500000,0.013060,133.233954,ok
cuda,v2,217500000,0.013632,255.274930,ok
cuda,v4,217500000,0.013728,380.236667,ok
acc,v1,217500000,0.013061,133.220564,ok
acc,v2,217500000,0.014337,242.731577,ok
acc,v4,217500000,0.014319,364.552048,ok
omp_off,v1,318750000,0.019597,130.123185,ok
omp_off,v2,318750000,0.020428,249.655125,ok
omp_off,v4,318750000,0.020237,378.021037,ok
cuda,v1,318750000,0.019134,133.268082,ok
cuda,v2,318750000,0.019801,257.568122,ok
cuda,v4,318750000,0.019751,387.324612,ok
acc,v1,318750000,0.019134,133.271967,ok
acc,v2,318750000,0.020222,252.201214,ok
acc,v4,318750000,0.020387,375.240333,ok
omp_off,v1,418750000,0.025487,131.438606,ok
omp_off,v2,418750000,0.026210,255.626944,ok
omp_off,v4,418750000,0.026254,382.796229,ok
cuda,v1,418750000,0.025134,133.283574,ok
cuda,v2,418750000,0.025789,259.802695,ok
cuda,v4,418750000,0.025727,390.634019,ok
acc,v1,418750000,0.025136,133.275016,ok
acc,v2,418750000,0.026291,254.838780,ok
acc,v4,418750000,0.026306,382.039907,ok
omp_off,v1,520000000,0.031710,131.189274,ok
omp_off,v2,520000000,0.032388,256.885489,ok
omp_off,v4,520000000,0.032360,385.663235,ok
cuda,v1,520000000,0.031210,133.291748,ok
cuda,v2,520000000,0.031966,260.276943,ok
cuda,v4,520000000,0.031837,392.001006,ok
acc,v1,520000000,0.031210,133.290844,ok
acc,v2,520000000,0.032558,255.542361,ok
acc,v4,520000000,0.032279,386.628903,ok
omp_off,v1,1240000000,0.075390,131.582263,ok
omp_off,v2,1240000000,0.076383,259.743273,ok
omp_off,v4,1240000000,0.075949,391.842133,ok
cuda,v1,1240000000,0.074880,132.478847,ok
cuda,v2,1240000000,0.075764,261.866824,ok
cuda,v4,1240000000,0.075662,393.329684,ok
acc,v1,1240000000,0.074879,132.480524,ok
acc,v2,1240000000,0.076397,259.695448,ok
acc,v4,1240000000,0.075587,393.718318,ok
omp_off,v4_4,58750000,0.010436,540.446290,ok
cuda,v4_4,58750000,0.004391,1284.543458,ok
acc,v4_4,58750000,0.005872,960.488634,ok
omp_off,v4_4,108750000,0.019968,522.841921,ok
cuda,v4_4,108750000,0.007291,1431.981496,ok
acc,v4_4,108750000,0.009287,1124.137647,ok
omp_off,v4_4,159375000,0.032225,474.788224,ok
cuda,v4_4,159375000,0.010388,1472.918232,ok
acc,v4_4,159375000,0.012860,1189.730088,ok
omp_off,v4_4,209375000,0.039489,509.002110,ok
cuda,v4_4,209375000,0.013398,1500.215068,ok
acc,v4_4,209375000,0.016577,1212.522982,ok
omp_off,v4_4,260000000,0.047509,525.374637,ok
cuda,v4_4,260000000,0.016526,1510.321376,ok
acc,v4_4,260000000,0.020222,1234.302414,ok
omp_off,v4_4,310000000,0.050082,594.225846,ok
cuda,v4_4,310000000,0.019454,1529.743644,ok
acc,v4_4,310000000,0.023454,1268.856477,ok
