framework,version,N,elapsed_sec,bandwidth_gbs,status
omp_off,v1,117500000,0.010090,93.160506,ok
omp_off,v2,117500000,0.010334,181.923485,ok
omp_off,v4,117500000,0.010229,275.690215,ok
cuda,v1,117500000,0.010008,93.926190,ok
cuda,v2,117500000,0.011195,167.932947,ok
cuda,v4,117500000,0.011392,247.544783,ok
acc,v1,117500000,0.010007,93.935142,ok
acc,v2,117500000,0.010959,171.546176,ok
acc,v4,117500000,0.011209,251.588652,ok
omp_off,v1,217500000,0.018645,93.322366,ok
omp_off,v2,217500000,0.018844,184.672916,ok
omp_off,v4,217500000,0.019501,267.675708,ok
cuda,v1,217500000,0.018528,93.911995,ok
cuda,v2,217500000,0.019859,175.236847,ok
cuda,v4,217500000,0.020673,252.502818,ok
acc,v1,217500000,0.018532,93.891456,ok
acc,v2,217500000,0.019566,177.859015,ok
acc,v4,217500000,0.020568,253.793607,ok
omp_off,v1,318750000,0.027211,93.712271,ok
omp_off,v2,318750000,0.027521,185.312135,ok
omp_off,v4,318750000,0.028278,270.527250,ok
cuda,v1,318750000,0.027120,94.026156,ok
cuda,v2,318750000,0.028664,177.924312,ok
cuda,v4,318750000,0.030217,253.169313,ok
acc,v1,318750000,0.027121,94.022849,ok
acc,v2,318750000,0.028306,180.173768,ok
acc,v4,318750000,0.029694,257.627106,ok
omp_off,v1,418750000,0.035697,93.845465,ok
omp_off,v2,418750000,0.036120,185.493121,ok
omp_off,v4,418750000,0.037760,266.154525,ok
cuda,v1,418750000,0.035637,94.003053,ok
cuda,v2,418750000,0.037115,180.520693,ok
cuda,v4,418750000,0.039238,256.129419,ok
acc,v1,418750000,0.035642,93.990477,ok
acc,v2,418750000,0.036845,181.843009,ok
acc,v4,418750000,0.039102,257.019592,ok
omp_off,v1,520000000,0.044298,93.909067,ok
omp_off,v2,520000000,0.044749,185.925853,ok
omp_off,v4,520000000,0.047075,265.108682,ok
cuda,v1,520000000,0.044317,93.869155,ok
cuda,v2,520000000,0.045759,181.822304,ok
cuda,v4,520000000,0.052807,236.332957,ok
acc,v1,520000000,0.044310,93.883802,ok
acc,v2,520000000,0.045488,182.904903,ok
acc,v4,520000000,0.048449,257.590246,ok
omp_off,v1,1240000000,0.106265,93.351467,ok
omp_off,v2,1240000000,0.107095,185.256076,ok
omp_off,v4,1240000000,0.111330,267.313315,ok
cuda,v1,1240000000,0.106214,93.396310,ok
cuda,v2,1240000000,0.120750,164.306161,ok
cuda,v4,1240000000,0.114764,259.314824,ok
acc,v1,1240000000,0.106173,93.432383,ok
acc,v2,1240000000,0.108243,183.291318,ok
acc,v4,1240000000,0.114231,260.524476,ok
omp_off,v4_4,58750000,0.011164,505.197535,ok
cuda,v4_4,58750000,0.006871,820.843005,ok
acc,v4_4,58750000,0.006902,817.156881,ok
omp_off,v4_4,108750000,0.020835,501.081770,ok
cuda,v4_4,108750000,0.029870,349.514174,ok
acc,v4_4,108750000,0.011347,920.062483,ok
omp_off,v4_4,159375000,0.033661,454.530235,ok
cuda,v4_4,159375000,0.019729,775.512105,ok
acc,v4_4,159375000,0.022134,691.249636,ok
omp_off,v4_4,209375000,0.036197,555.295449,ok
cuda,v4_4,209375000,0.026100,770.117295,ok
acc,v4_4,209375000,0.024637,815.846619,ok
omp_off,v4_4,260000000,0.044838,556.668321,ok
cuda,v4_4,260000000,0.033132,753.353922,ok
acc,v4_4,260000000,0.030324,823.110890,ok
omp_off,v4_4,310000000,0.055599,535.261674,ok
cuda,v4_4,310000000,0.038879,765.453407,ok
acc,v4_4,310000000,0.041350,719.711746,ok
