framework,version,N,elapsed_sec,bandwidth_gbs,status
omp_off,v1,117500000,0.010060,93.438696,ok
omp_off,v2,117500000,0.010273,183.004352,ok
omp_off,v4,117500000,0.010278,274.372806,ok
cuda,v1,117500000,0.010009,93.915003,ok
cuda,v2,117500000,0.011277,166.711591,ok
cuda,v4,117500000,0.011261,250.422114,ok
acc,v1,117500000,0.010005,93.953049,ok
acc,v2,117500000,0.011066,169.890368,ok
acc,v4,117500000,0.011024,255.805556,ok
omp_off,v1,217500000,0.018601,93.543656,ok
omp_off,v2,217500000,0.018830,184.810873,ok
omp_off,v4,217500000,0.018772,278.075403,ok
cuda,v1,217500000,0.018555,93.775637,ok
cuda,v2,217500000,0.030448,114.293372,ok
cuda,v4,217500000,0.019801,263.621188,ok
acc,v1,217500000,0.018530,93.902328,ok
acc,v2,217500000,0.019601,177.540996,ok
acc,v4,217500000,0.020878,250.023032,ok
omp_off,v1,318750000,0.027198,93.757453,ok
omp_off,v2,318750000,0.027548,185.132507,ok
omp_off,v4,318750000,0.029945,255.467206,ok
cuda,v1,318750000,0.027165,93.870187,ok
cuda,v2,318750000,0.041990,121.457369,ok
cuda,v4,318750000,0.029850,256.281355,ok
acc,v1,318750000,0.027140,93.957598,ok
acc,v2,318750000,0.027994,182.180882,ok
acc,v4,318750000,0.029913,255.742090,ok
omp_off,v1,418750000,0.035738,93.737781,ok
omp_off,v2,418750000,0.036061,185.796040,ok
omp_off,v4,418750000,0.037816,265.760190,ok
cuda,v1,418750000,0.035649,93.971619,ok
cuda,v2,418750000,0.037104,180.572891,ok
cuda,v4,418750000,0.039280,255.855803,ok
acc,v1,418750000,0.035656,93.953397,ok
acc,v2,418750000,0.036790,182.115229,ok
acc,v4,418750000,0.041062,244.752565,ok
omp_off,v1,520000000,0.044311,93.881782,ok
omp_off,v2,520000000,0.044781,185.793208,ok
omp_off,v4,520000000,0.046688,267.305917,ok
cuda,v1,520000000,0.044259,93.992031,ok
cuda,v2,520000000,0.045749,181.862101,ok
cuda,v4,520000000,0.048496,257.340770,ok
acc,v1,520000000,0.044310,93.883802,ok
acc,v2,520000000,0.045608,182.423961,ok
acc,v4,520000000,0.047602,262.172885,ok
omp_off,v1,1240000000,0.106220,93.391069,ok
omp_off,v2,1240000000,0.107120,185.212781,ok
omp_off,v4,1240000000,0.112903,263.588823,ok
cuda,v1,1240000000,0.106175,93.430705,ok
cuda,v2,1240000000,0.108122,183.496233,ok
cuda,v4,1240000000,0.113012,263.335247,ok
acc,v1,1240000000,0.106170,93.434901,ok
acc,v2,1240000000,0.107881,183.906223,ok
acc,v4,1240000000,0.113222,262.846713,ok
omp_off,v4_4,58750000,0.015882,355.118662,ok
cuda,v4_4,58750000,0.007555,746.524696,ok
acc,v4_4,58750000,0.006698,842.055835,ok
omp_off,v4_4,108750000,0.028265,369.361409,ok
cuda,v4_4,108750000,0.029804,350.288654,ok
acc,v4_4,108750000,0.011825,882.868941,ok
omp_off,v4_4,159375000,0.027629,553.763224,ok
cuda,v4_4,159375000,0.026040,587.561241,ok
acc,v4_4,159375000,0.019397,788.780943,ok
omp_off,v4_4,209375000,0.036273,554.131132,ok
cuda,v4_4,209375000,0.026951,745.795865,ok
acc,v4_4,209375000,0.024535,819.231842,ok
omp_off,v4_4,260000000,0.046497,536.807596,ok
cuda,v4_4,260000000,0.033319,749.122203,ok
acc,v4_4,260000000,0.030243,825.310628,ok
omp_off,v4_4,310000000,0.057242,519.898734,ok
cuda,v4_4,310000000,0.038049,782.149691,ok
acc,v4_4,310000000,0.042103,706.837117,ok
